FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,"Sevastopol",Russia,2020-04-26 12:22:01,44.616604,33.525369,31,0,6,25,"Sevastopol,Russia"
,,"Smolensk oblast",Russia,2020-04-26 12:22:01,54.956192,32.998543,289,2,15,272,"Smolensk oblast,Russia"
,,"Stavropolskiy kray",Russia,2020-04-26 12:22:01,45.0,44.0,421,6,58,357,"Stavropolskiy kray,Russia"
,,"Tambov oblast",Russia,2020-04-26 12:22:01,52.73169,41.44326,399,1,47,351,"Tambov oblast,Russia"
,,"Tver oblast",Russia,2020-04-26 12:22:01,56.85836,35.90057,464,1,24,439,"Tver oblast,Russia"
,,"Tomsk oblast",Russia,2020-04-26 12:22:01,56.49771,84.97437,67,0,4,63,"Tomsk oblast,Russia"
,,"Tula oblast",Russia,2020-04-26 12:22:01,54.19609,37.61822,644,5,59,580,"Tula oblast,Russia"
,,"Tumen oblast",Russia,2020-04-26 12:22:01,57.15222,65.52722,386,3,58,325,"Tumen oblast,Russia"
,,"Republic of Udmurtia",Russia,2020-04-26 12:22:01,57.0,53.0,202,4,19,179,"Republic of Udmurtia,Russia"
,,"Ulianovsk oblast",Russia,2020-04-26 12:22:01,54.32824,48.38657,307,3,5,299,"Ulianovsk oblast,Russia"
,,"Habarovskiy kray",Russia,2020-04-26 12:22:01,48.48271,135.08379,406,5,22,379,"Habarovskiy kray,Russia"
,,"Hanty-Mansiyskiy AO",Russia,2020-04-26 12:22:01,61.00417,69.00194,274,1,53,220,"Hanty-Mansiyskiy AO,Russia"
,,"Cheliabinsk oblast",Russia,2020-04-26 12:22:01,55.15402,61.42915,302,0,47,255,"Cheliabinsk oblast,Russia"
,,"Chechen republic",Russia,2020-04-26 12:22:01,43.2,45.78889,409,6,23,380,"Chechen republic,Russia"
,,"Chukotskiy autonomous oblast",Russia,2020-04-26 12:22:01,65.982613,174.432311,15,0,1,14,"Chukotskiy autonomous oblast,Russia"
,,"Yamalo-Nenetskiy AO",Russia,2020-04-26 12:22:01,66.086435,80.005397,348,1,35,312,"Yamalo-Nenetskiy AO,Russia"
,,"Yaroslavl oblast",Russia,2020-04-26 12:22:01,57.62987,39.87368,384,2,23,359,"Yaroslavl oblast,Russia"
